,Название тура,Цена,Локация,Приб/отб,Рейтинг,Кол-во оценок,Сложность,Комфорт,Url,Тэги,Длительность,Место прожив.,Размер группы,Мин. возраст,Место встречи
1_0,Большое путешествие по Западной Сибири,53400,Сибирь,"['2024-06-09', '2024-06-16']",4.9,61,0.25,Выше среднего,https://bolshayastrana.com/sibir/bolshoe-puteshestvie-po-zapadnoj-sibiri-194803,['Экскурсионные туры'],8 дней,Гостиница,До 15 человек,10 лет,Новосибирск
1_1,VIP-тур. Пролетая над Карелией,399000,Карелия,"['2024-05-24', '2024-05-26']",5,3,0.5,Высокий,https://bolshayastrana.com/kareliya/vip-tur-proletaya-nad-kareliej-134848,"['Комбинированные туры', 'Вертолетные туры', 'Экскурсионные туры']",3 дня,Турбаза,До 6 человек,7 лет,"Санкт-Петербург, аэропорт Пулково"
1_2,Яркий мир КМВ. Мультиактивный тур,97000,Кавказ,"['2024-05-17', '2024-05-26']",5,67,0.5,Выше среднего,https://bolshayastrana.com/kavkaz/yarkij-mir-kmv-multiaktivnyj-tur-227357,"['Комбинированные туры', 'Экскурсионные туры', 'Конные туры', 'Велотуры', 'Пешие туры', 'Восхождения', 'Каньонинг']",10 дней,Гостиница,До 8 человек,12 лет,г. Минеральные Воды
1_3,За китами на Кольский,49900,Кольский полуостров,"['2024-05-17', '2024-05-19']",5,99,0.25,Выше среднего,https://bolshayastrana.com/kolskij-poluostrov/za-kitami-na-kolskij-128811,['Экскурсионные туры'],3 дня,Гостиница,До 18 человек,5 лет,Мурманск
1_6,Ешь. Восхищайся. Люби. Путешествие на Кавказ,51900,Ингушетия,"['2024-05-17', '2024-05-22']",5,131,0.25,"Средний
Выше среднего",https://bolshayastrana.com/ingushetiya/esh-voshishchajsya-lyubi-89594,['Экскурсионные туры'],6 дней,Гостиница или Гостевой дом,До 16 человек,7 лет,"Россия, Республика Северная Осетия — Алания, Владикавказ"
1_7,Конное путешествие на плато Укок,80000,Алтай,"['2024-07-07', '2024-07-18']",4.9,182,1.0,Базовый,https://bolshayastrana.com/altaj/konnoe-puteshestvie-na-plato-ukok-556,['Конные туры'],12 дней,Палатка,До 12 человек,14 лет,100 кг
1_8,Гастрономический тур на Байкал,132000,Байкал,"['2024-07-15', '2024-07-19']",4.3,18,0.25,Высокий,https://bolshayastrana.com/bajkal/gastronomicheskij-tur-na-bajkal-228433,"['Комбинированные туры', 'Экскурсионные туры', 'Джип-туры']",5 дней,Гостиница,До 12 человек,6 лет,"Россия, Иркутск"
1_10,Экскурсионный тур в гостеприимный Калининград,25500,Калининградская область,"['2024-05-19', '2024-05-23']",4.9,338,0.25,Выше среднего,https://bolshayastrana.com/kaliningradskaya-oblast/ehkskursionnyj-tur-v-gostepriimnyj-kaliningrad-17105,['Экскурсионные туры'],5 дней,Гостиница,До 50 человек,3 года,г. Калининград
1_11,Большое семейное путешествие во Владивосток,54750,Приморье,"['2024-05-28', '2024-06-05']",4.8,123,0.25,"Средний
Выше среднего",https://bolshayastrana.com/primore/bolshoe-semejnoe-puteshestvie-vo-vladivostok-179380,['Экскурсионные туры'],9 дней,Гостиница,До 40 человек,5 лет,"Россия, Приморский край, Владивосток"
1_12,Сахалин — Итуруп,145000,Сахалин и Курильские острова,"['2024-06-05', '2024-06-14']",4.9,82,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/sahalin-i-kurilskie-ostrova/sahalin-iturup-17657,"['Комбинированные туры', 'Экскурсионные туры', 'Джип-туры']",10 дней,Гостиница,До 25 человек,6 лет,Южно-Сахалинск
1_13,Саянская мозаика. Комфорт-тур,70000,Хакасия,"['2024-06-10', '2024-06-16']",4.9,35,0.5,"Выше среднего
Высокий",https://bolshayastrana.com/hakasiya/sayanskaya-mozaika-tur-komfort-19204,['Экскурсионные туры'],7 дней,Гостиница,До 20 человек,10 лет,"Россия, Республика Хакасия, Абакан"
1_14,Души уютный уголок: Ивановские земли!,18900,Ивановская область,"['2024-06-14', '2024-06-16']",4.8,6,0.25,Выше среднего,https://bolshayastrana.com/ivanovskaya-oblast/dushi-uyutnoj-ugolok-ivanovskaya-oblast-236422,['Экскурсионные туры'],3 дня,Гостиница,До 16 человек,10 лет,Иваново
1_15,Йога-тур в Ингушетии,41500,Ингушетия,"['2024-05-17', '2024-05-21']",5,115,0.25,Выше среднего,https://bolshayastrana.com/ingushetiya/joga-tur-v-ingushetii-19850,"['Комбинированные туры', 'Фитнес и йога-туры', 'Экскурсионные туры']",5 дней,Гостиница,До 16 человек,7 лет,"Республика Северная Осетия — Алания, Владикавказ"
1_16,Спа-тур в Великий Устюг: отдых с пользой для здоровья,20600,Вологодская область,"['2024-05-21', '2024-05-26']",4.9,32,0.25,Выше среднего,https://bolshayastrana.com/vologodskaya-oblast/otdyh-s-polzoj-dlya-zdorovya-116694,[''],6 дней,Гостиница,До 20 человек,5 лет,"Вологодская область, Великоустюгский муниципальный округ, посёлок Валга"
1_17,Тотальная перезагрузка. Джип-тур по Дагестану,137700,Дагестан,"['2024-06-02', '2024-06-09']",4.9,192,0.75,Средний,https://bolshayastrana.com/dagestan/totalnaya-perezagruzka-dzhiptur-po-dagestanu-18806,"['Комбинированные туры', 'Джип-туры', 'Экскурсионные туры', 'Конные туры', 'Серфинг и SUP-туры', 'Сплавы']",8 дней,Гостевой дом,До 4 человек,6 лет,Махачкала
1_18,К виноградникам у моря. Железнодорожный круиз в Краснодарский край,88420,Краснодарский край,"['2024-06-07', '2024-06-11']",5,31,0.25,"Простой
Средний
Выше среднего",https://bolshayastrana.com/novorossijsk/k-vinogradnikam-u-morya-zheleznodorozhnyj-kruiz-231034,"['ЖД туры', 'Комбинированные туры', 'Экскурсионные туры']",5 дней,Поезд,До 50 человек,6 лет,Москва
1_19,BIKE CAMP. Велотур по Калининградской области,54900,Калининградская область,"['2024-06-07', '2024-06-12']",5,60,0.5,Средний,https://bolshayastrana.com/kaliningradskaya-oblast/bike-camp-velotur-po-kaliningradskoj-oblasti-dlya-novichkov-i-opytnyh-rajderov-19700,['Велотуры'],6 дней,Гостиница,До 18 человек,14 лет,"Россия, Калининград"
1_20,Рыболовный тур в Астрахань,40900,Астраханская область,"['2024-07-14', '2024-07-19']",4.9,17,0.25,"Выше среднего
Высокий",https://bolshayastrana.com/astrahanskaya-oblast/rybolovnyj-tur-v-astrahan-246114,['Рыболовные туры'],6 дней,Гостиница,До 10 человек,5 лет,Астрахань
1_21,Путешествие на космическую Камчатку,390000,Камчатка,"['2024-08-03', '2024-08-12']",4.9,18,0.5,"Базовый
Средний",https://bolshayastrana.com/kamchatka/kosmicheskaya-kamchatka-82835,"['Комбинированные туры', 'Экскурсионные туры', 'Пешие туры', 'Восхождения', 'Яхтинг', 'Джип-туры', 'Вертолетные туры']",10 дней,Гостевой дом,До 10 человек,7 лет,г. Петропавловск-Камчатский
2_0,Экспедиция к китам. Залив Николая и бухта Врангель,225000,Хабаровский край,"['2024-07-09', '2024-07-18']",5,1,0.75,"Базовый
Простой",https://bolshayastrana.com/habarovskij-kraj/ehkspediciya-k-kitam-zaliv-nikolaya-i-buhta-vrangel-135310,"['Комбинированные туры', 'Экспедиции', 'Рыболовные туры', 'Серфинг и SUP-туры']",10 дней,Палатка,До 14 человек,14 лет,Хабаровск
2_1,Вкусы Балтики,39900,Калининградская область,"['2024-05-13', '2024-05-16']",5,50,0.25,Средний,https://bolshayastrana.com/kaliningradskaya-oblast/vkusy-baltiki-101145,['Экскурсионные туры'],4 дня,Гостиница,До 18 человек,12 лет,Калининград
2_6,Дагестан на максимум. Вcе включено,39500,Дагестан,"['2024-05-13', '2024-05-17']",5,38,0.5,Выше среднего,https://bolshayastrana.com/dagestan/dagestan-na-maksimum-155588,"['Комбинированные туры', 'Джип-туры', 'Экскурсионные туры', 'Пешие туры']",5 дней,Гостиница или Турбаза,До 16 человек,6 лет,"Республика Дагестан, Карабудахкентский район, аэропорт Махачкала (Уйташ)"
